book_id_csv,book_id
1898,340837950
1899,340838035
1900,340850620
1901,340878754
1902,345302354
1903,345305183
1904,345316509
1905,345323904
1906,345331052
1907,345339738
1908,345345061
1909,345346297
1910,345352440
1911,345368436
1912,345375211
1913,345396537
1914,345396553
1915,345396707
1916,345396936
1917,345397398
1918,345397606
1919,345397614
1920,345414004
1921,345417968
1922,345418263
1923,345418689
1924,345418778
1925,345419626
1926,345419634
1927,345420748
1928,345422406
1929,345423879
1930,345425928
1931,345428307
1932,345431103
1933,345432401
1934,345433742
1935,345434900
1936,345435257
1937,345435753
1938,345436911
1939,345437837
1940,345437977
1941,345439104
1942,345440145
1943,345440838
1944,345441036
1945,345441303
1946,345441699
1947,345441702
1948,345442121
1949,345442741
1950,345443284
1951,345443608
1952,345444884
1953,345445783
1954,345446100
1955,345446666
1956,345448146
1957,345448197
1958,345449002
1959,345449029
1960,345450396
1961,345450698
1962,345452518
1963,345453743
1964,345453867
1965,345455827
1966,345455916
1967,345457374
